Unnamed: 0,split,topic,label,TEXT
3878,train,region,0,其实是和地区的定位有关系的，河南主要发展农业过去的户籍制度决定了大学招生和定位的。
8737,train,race,1,你“单纯”觉得黑人不好看？那你还和我辩论什么？你这种主观的回答我跟你说再多你也不能理解我想法。你在那种环境下也会选白人？你有了解过在战乱瘟疫中生存的黑人是什么样的吗？你随便百度一下我肯定你会改变想法( ͡° ͜ʖ ͡°)✧
3707,train,race,1,"的确,日本人骨子里是讨厌中国人的，无非长期的苛刻教育形成他们的所谓的教养"
4023,train,region,0,我黑龙江人，也没见过东北大板
4490,train,race,1,太丢人了，别侮辱华裔这个词，中国人啥时候脆弱了
4098,train,region,0,室友抽烟就室友抽烟，提什么内蒙古？
1303,train,race,0,巧了中国女权也分极端派和温和派
515,train,gender,0,做为一个地地道道正儿八经，说话从来不拉稀摆带的重庆崽儿，重庆美女确实多。夏天走街上，一个字形容腿
12997,train,race,0,主要是文化环境和差异吧。黑人本来就是美国文化的建设者和创造者之一，本身已经融入了美国社会。所以有个段子说，一个非洲人下机场后第一次踏上美国的土地，美国人不会觉得他哪里奇怪。但是一个在美国居住了五六代的亚裔，照样会以为是外国人
2097,train,gender,1,猥亵男童的事情少吗？因为男孩子受欺负常常被忽略，所以女孩子受欺负被忽略也是应该的？意思是中国男性被强奸不算强奸，所以女性被强奸也是正常的？快回去吃药
10020,train,race,0,体质：体育学上，体质确有高低，黄种人在力量速度方面不如黑白人；医学上，看人均寿命，看抗病能力，看生活质量，黄种人不差。
2298,train,region,1,对对对 我认识一个东北口音超级重的女生 特别喜欢用东北话骂人 结果那个女的是四川的 还有很多网络上用东北口音骂人的很多其实都不是东北人 真的是把东北人黑透了 {我重庆的}
711,train,race,0,哈哈哈亚裔学生比前几届多多啦！好多国内的宝宝都出国念书了……亚裔同学之间好玩的事情……大概就是农历春节的时候各个学院的中国同学会在大厅庆祝春节吧，还带着外国同学一起打麻将[捂脸]
1424,train,race,0,不只是少数民族，中国神话传说中的嫦娥一开始是蟾蜍的化身，是母性（生殖）崇拜的体现，后世传说才将他们逐渐分离的。另外，蟾蜍也是蛙类。
11538,train,race,0,文笔好棒，能写出这样的行文也只有亚洲国家如日本韩国以及东南亚国家的人可以，除东方黄种人外的文化和中国文化差距太大，所以很多美英法德国家的人要花很长时间才可以做到的吧
974,train,region,1,别了 我们的对话就到此为止吧。我先说 我对上海人没意见，我相信任何地方都有好人和坏人，网上都是个例不能代表全部。你怎么认为外地人是你的事，没必要跟我证明个一二三然后得出主观结论。所以我也闭嘴，毕竟主观的东西都是各有各理
488,train,gender,0,赏金这种英雄搭配一个机器人泰坦日女锤石强得不行，控住就是死
3690,train,region,1,嘻哈不是黑鬼土嗨玩起来的么，为什么就觉得中国烂到骨子里？一个种文化不是贬就是捧？东北土嗨我觉得都比那烂嘻哈节目有态度
3025,train,region,1,“你满族的啊？在家穿旗袍吧！”
2967,train,region,1,在漳州话里，安徽人的的第一个意思是乞丐，其次才是表示安徽的人。
4803,train,gender,0,就喜欢胖胖的脸蛋美的身体敦实的女孩子
6199,train,race,1,中国人与狗不得入内，公园本来就应该有种族方面的考量，你凭什么觉得是歧视中国人？
590,train,region,1,建议不知道就不要随意猜测是哪儿的人。就好比你在路上看到一个没有井盖的窨井，就说这是河南人偷的一样很不合适。
3569,train,race,1,不落后也不觉得黑人好看，美国黑人混血的比较多而已，纯种的撒哈拉黑人丑死了，
867,train,region,1,那个骂人的黑小孩，听口音是山东的。我这么说不会影响我们山东人形象吧！
211,train,gender,0,啊妹子还招男友么！！！【为什么我也想问这一句】
1391,train,gender,1,这个男人真是坏透了
906,train,race,0,根据广义因果论，印度人的平和成都取决于你看的那个人的颜值。他有多帅，印度就有多和谐。
2539,train,region,0,阿神不敢承认，他一旦承认，因为阿神是台湾人，必定将受到网络暴力甚至是人肉。阿神不敢承认我觉得可以理解
11680,train,race,0,印度人是打嘴炮的神
1616,train,region,1,一股傻逼山寨的浮躁炫富风…恶心到家 大学有个舍友，天津人，就是成天看郭敬明的小说，浮躁肤浅到爆，书架上全是郭敬明的东西，毕业论文写的都是郭敬明………毕业后就把此人所有联系方式都删了。留着太恶心
2124,train,region,1,歧视广东人
1688,train,region,1,不是我地域黑，东北人就这么没素质的吗？
2214,train,gender,1,这种傻逼匪徒，就这样的命吧。女人质在台阶下，嫌犯整个脑袋全部暴露，特警隔两条街都能狙死他
2661,train,gender,1,可惜的是大多数男都分不清这两者的区别，用理智分析感受的结果就是来到网上疑神疑鬼骂人婊
2847,train,gender,1,对对对。作为女生，我也不觉得有啥恶心的，男未婚女未嫁的，有啥啊
3671,train,region,0,元首：我特么现在知道为毛北京不可能放弃新疆了，这地方是真鸡儿的大啊
