Unnamed: 0,split,topic,label,TEXT
2222,train,gender,1,男人出轨下面出现一大片男人出轨真的恶心，男人都不是好东西之类的言语时也没见你们这些卫道士。
11945,train,race,0,Charlie 是Bernard 的儿子（回忆里的那个黑人小孩子）
1134,train,region,1,我并非一个极端分子，当时我其实是抱着朝圣的态度去台湾的，看看民国和民主是什么样的。有些台湾人在暗地里打听我对局势的态度，我都是说大陆太龊了，兔子太坏了，搞得民不聊生，还是台湾好。看了PTT之后，让我真的难过了好久。你能理解这种反差吗？
1226,train,gender,0,本来想给我家外甥女买个汉服呢现在不敢了
1942,train,gender,0,你这是提现了女朋友喝醉一次的重要性啊
2093,train,region,0,其实我觉得没必要那么当真。他们说陕西小偷多什么的，你没必要真当做他的意思是陕西都是小偷。网上那么多广东人吃福建人，动不动就富兰人，湖建人。除了个别的没素质之外，大部分人也是没有恶意的。看到说河南人偷井盖就觉得他们意思是所有河南人都这样，就未免有点那啥了
1043,train,gender,1,网上有新闻强奸男的，最后都只能按故意伤害拘留15天
731,train,region,1,我在各地都被河南人坑货，各种方式，各种金额 我也是河南人，和骗子说着家乡话被坑
3203,train,region,1,这又地域歧视了？我说所有新疆人了？好，这次算我失误，忘记加“部分”两字，又让你们抓到机会了。
8013,train,race,1,黑人犯罪率是其他群体十倍，以至于警察哪怕黑人警察看见年轻黑人都紧张，而且很多被杀的黑人本身就是逃犯，只不过圣母刻意炒作罢了，
3829,train,region,0,北京b+b？漏油加转机？
3645,train,region,1,地域黑这种真的恶心，比如丽江打人事情，又不是我们整个云南人打的，一说就云南怎么怎么样，哪里都有好人和坏人，更是无良媒体带节奏。现在这些网民各种跟风
2642,train,gender,1,男人赚不到钱，老婆当然没用。老婆嫌家里没钱，为何不出去赚？缺手缺脚了，陡然高贵起来了是怎么回事？
1848,train,race,0,对啊ʕ๑•㉨•๑ʔ❀碰到好多俄罗斯，美国女生对亚裔男生，韩国男生很感兴趣，我觉得跟韩国文化输出有一些联系
4165,train,race,1,其实我觉得这不算是怼，这是讲道理，他怪我们对日本人生气，那我们就应该告诉他们是因为他们做了那么多不可饶恕的事情所以才惹人生气，我们对日本的仇视心里不是无缘无故的，
10316,train,race,0,大部分印度人的抓和孟加拉的抓还是不一样的
3716,train,region,0,青海西藏也有牧区好吧，而且一点都不膻，不必新疆的羊差
10496,train,race,0,黑人的身材比例真的是绝了
5021,train,race,1,在美国，黑人最爱抢劫亚裔呀。这不是互相伤害嘛
3767,train,race,1,这和法无关，还是多写业内的吧。你说的这些和是个黑人就智商低，女人就不应该学数学一样，是偏见。群体下这么说没毛病，原生家庭有问题是容易遗传或者造成不良生长环境，但是针对个体是不具备预测性的。很多姻缘、人才就因为偏见毁了，多可惜
9206,train,race,0,"汽车工程师的英语应该是automotive engineer,“car engineer”有点中式英语chinglish，正好跟上一位模仿印度人Indilish形成了call back 。"
1778,train,region,0,对红楼梦做了任何事都是要被鞭尸的 高鹗就像逼乎上的东北人 有事没事就要骂几句才舒坦 滑稽
4589,train,region,0,坐标重庆，我跟我男朋友在一起才七八千，我已上班四年[捂脸][捂脸][捂脸]
808,train,region,1,这不是废话吗 西北有些地方钩子还是指的股沟呢 操这个字基本也是新中国过后禁了【肏】才被拉出来的 台湾人都没有用这个字骂人的习惯 而且你以为操蛋这个词是是全国都知道的吗？香港人都不知道歇菜的意思
4514,train,region,0,呵呵这不是很正常吗？ 浙江教育出版社的小学课本解释园面积的时候也用了积分思想
9809,train,race,0,关于肤白这件事，是因为黄种人面部比较扁平，肤白才会显得立体，实话实说三庭五眼虽然是最近的概念，但是对于审美来说，应该不会有很大变化的
61,train,race,1,CEO是他妈妈呗。秒解。可能我比较歧视男性。
1570,train,region,1,台湾人很多都没有教养，甚至比内地人素质更低。我公司一个台湾大妈就是这样的。恶心的要死。
8088,train,race,1,关键问题是，中国没有奴役过黑人，没有历史原罪，中国人所谓的歧视黑人跟欧美人的是不同概念，最多也就是不喜欢，看不惯罢了，说上天也就是刻板印象，
11768,train,race,0,"不符合中国大众的审美观点呗。,都喜欢高鼻大眼薄嘴唇白皙皮肤体味轻发质好的款式，这些都和黑人对不上号～,黑人大多数人，头发长了就一蓬蓬（好玩哈哈,），丰满嘴唇，皮肤白皙的那就不是黑人了，黑人大多体味重大多喷香水，我曾经和黑哥们一起健身，"
485,train,gender,1,这个故事告诉我们，有个好爹比有个好男友有意义多了
2619,train,gender,0,这么可爱的男朋友给我来一打
2471,train,gender,0,奶团还被骂？？咋想的？男版程潇了
3547,train,region,1,只要听到哏哏的中国话心里就莫名的恶心，哪些人说话哏哏的呢？！台湾以及东南亚还有乱七八糟籍的所谓“华人”
6601,train,region,0,河北人不容易，衡水二中也挺高
4075,train,region,0,有的，前几天的新闻，蒙古国学者到内蒙古大学研究蒙古史料
