Unnamed: 0,split,topic,label,TEXT
5188,train,race,1,不能因为说话会伤害一些无辜，就连统计意义的倾向的话都不能讲。比如黑人聚集区犯罪率较高，这话虽然会伤害很多无辜黑人的情感，但若从统计学角度出发去看却是事实。看开点，看完这个结论，很难说大家是伤及无辜，还是羡慕男老师所处的优越位置。
6725,train,race,1,你这种观点的地球版就是：当时的白人比黑人先进，为什么就不能贩卖黑人呢？当时的日本比中国发达，为什么就不能占领中国呢？你隔壁老王比你有钱，为什么就不应该让你的儿子也是大头儿子呢？
3253,train,region,1,怎么个三倍法？数据看看？你神经病吧，看你回复都恶心，别再提到我的大上海了，要不又给你黑了。
3410,train,region,0,最早听到这句话的原版是在吉林卫视都市频道的一个叫红男绿女的情景喜剧里，张楠对张柏鑫（他俩是对象）说：你信不信我一巴掌给你打墙上，扣都扣不下来。
6470,train,race,1,中国人是包含在黄种人下面的，就像dota是包含在moba下面的，就像某些崇洋媚外的中国人，觉得说自己是中国人很丢脸，在外面说自己是黄种人。lol也是觉得说自己是dota游戏很丢脸，就说自己是moba游戏。岂不是贻笑大方
2728,train,race,1,答主不必愧疚，靳东是网络暴力的施加者，不是受害者，一个拥有众多粉丝的公众人物，多次在公开场合看不起女性，公开发微博搞性别歧视和人身攻击，现在居然还能在中国娱乐圈继续混，还能有一堆粉丝给他洗地，也是非常神奇了
11293,train,race,0,这姑娘真的可以整容了…然后找个外国男朋友改善一下孩子基因，毕竟找黄种人生的孩子遗传到不好看的概率还是蛮大的…没有讽刺的意思，就单纯的想给姑娘出个主意
9294,train,race,0,大陆上唯一的联邦体制国家索域联邦的人种比较复杂，既有白种人、黄种人
6713,train,region,1,河南人想不想偷我不关心，但井盖确实是值钱的
196,train,race,1,"这不是""女权""们在骂吗？虽然矫枉过正，但我觉得这不算性别歧视"
5550,train,region,0,四川菜做啥都放花椒
4129,train,gender,0,我们并不是追捧，只是能接受理解这样的爱情，像说男男迷奸那些跟异性强奸一样不可以原谅。我们是支持理解同性真爱，并不是无脑。。
1845,train,gender,1,男人都是骗子，骗子！抱歉，我也是骗子
2668,train,region,1,遇到河南就地域黑就井盖问候的人，也就这点能耐了，你让他说点别的，就小偷啊杀人啊什么的，哦合着全中国的小偷杀人都来河南了
10103,train,race,0,清朝的皇帝是这样的。因为是满人，不比汉人。所以对自己对后世子孙定了特别多的规矩。中国历史上 很少有少数民族能统治汉人上百年的，元是98年，唐说是胡人后裔，但应该也跟汉人通婚。所以清能统治240年左右，绝对是有道理的。
4861,train,gender,1,明白了，你父亲这是重男轻女，直男癌
583,train,region,1,间谍并不多，这个跟我们看河南人都是骗子是同样的道理。
2352,train,gender,0,绝对正版，新华书店买的，女朋友的四娘，我的韩寒，这些书绝对买正版的。
1635,train,race,0,最近看的死侍2里面的亚裔妹子好像也是挑染
763,train,gender,0,少女所见略同的感觉
3200,train,region,0,题主过来广东~酒店菜还有番茄夹蛋～还有玻璃蛋～我都挺喜欢吃的～
2868,train,region,1,不知道是哪些人总喜欢来这套刻版印象，就以为自己了解北京话了，就开始装，听着就恶心，北京的环境变得那么大，语言习惯早就不一样，也早就不能一样了，完全照这里讲的这么说话的，也就电视里头关晓彤那类的玩意。
3027,train,region,1,卧槽你们温州人哟都是土豪嘞，你们家开厂的哦你们就是没文化的土豪嘞，你们普通话说不准嘞…
1526,train,gender,1,所以到底是男人傻还是女人傻？那么傻的女人还有男人上钩，那些男人是什么？
3732,train,gender,0,题主是从什么地方得出女权是平权的。
1690,train,gender,1,中国男人回家又怎么都面对悍妇了？？？
1890,train,region,1,不是所有学校经费都跟北京那边的大学一样够给所有学生宿舍安装空调的，我觉得有些学校不给安空调没得喷。但是强制要求学生让宿舍就恶心了。我们这学校虽然很一般，但也相当尊重学生意见。
